10000	40.91763029396307	17.994918508243185	29.844022646351743	39.51736241011007	59.16733205496093	40.562967513455035	14.682531835428469	30.153914860273535	39.52241394093554	54.61770179450893	31.172681564985293	19.159119609754818	20.02317266308934	30.0430117778089	40.62722977444149	32.17648901050593	15.676416882268631	20.928168797452507	33.20493096245404	40.20786241049423	39.7397912998837	16.44022147152052	29.8604920781483	39.67787875213254	55.566085089195305	28.741575992505425	16.937753337771404	13.12989149889826	32.45431226433614	39.889538322824954	31.48362235490517	19.518780261259394	16.2198112021287	34.206694941698345	48.91421134586178	20.107826682846056	18.667341184340348	3.1307969824649935	13.10767231167178	38.94048391765676
20000	52.99472606971652	14.933528800119623	58.36752225593143	59.31520323225381	59.59989404003873	51.21216117473669	10.994124990552276	50.0595014862766	56.28162785969356	58.10725316375956	38.80565692270339	20.180642720331413	21.076360328879343	40.08598398836833	59.403601485096345	40.159352703264666	15.839682752672315	30.834405028620637	40.208469863677585	55.54229599480126	47.381275198688286	16.692152710227127	38.697765715488316	57.51668428127971	59.21669096000639	35.43239081262382	16.86131861287191	20.10916198141618	39.534332579950416	49.27058802944924	39.02175982876249	21.94978555177323	19.469497763411216	51.90579464931387	58.218093599991676	24.951983095324913	20.92975681140924	5.49625953989816	19.391647448967014	42.43615287438255
30000	55.0240452755359	13.339163493969238	58.98027484536907	59.42799833521402	59.64468415720089	53.88057792967313	9.747971781358908	55.16930171573954	56.79852946931466	58.34166733795417	41.43966280800803	19.00200749133463	24.264091355290837	43.39230051933311	59.475333674537865	43.314887934062455	14.696491387916822	37.48380062964602	44.61713056767917	55.979693073316625	49.81376136362352	15.762636783644421	40.21217300338638	57.71003003488138	59.3756055929427	38.47874704102352	15.550275209121448	27.202729295054176	41.97931355061754	51.37535633530858	41.80972906944451	21.86987167826807	20.361345260155016	57.1325579217194	58.819191885128305	27.89749353803509	21.43030848124456	7.362022226576108	25.095392559355624	55.92260355339347
40000	55.56329439768455	12.548283699305545	59.04584824607535	59.440107607957906	59.65524195047026	54.2773282761185	9.369219597194117	55.31293369650717	56.97829353136299	58.3711198266203	43.18509647645039	17.728158245709604	27.698318120204945	46.44497329199223	59.46950439324758	45.09980183941599	13.542436536569188	38.55112549448454	47.50823420708019	55.9908770822088	50.72215339205316	14.727066158494209	44.29622124073291	57.85577282116744	59.39699434585307	40.70628110647196	14.436534976083959	30.429278277509486	44.82495229631385	52.84090429026828	42.88184617507143	21.25829556007014	21.18748477039164	57.45584739963572	58.979597909208536	29.71300627321036	21.041576590110814	10.106570675185955	28.35078012181132	56.641929610243665
50000	55.752060257448285	12.041542847576345	59.08255390679104	59.463609083089636	59.656646628697516	54.39416865118075	9.233234091674914	55.40414533793155	57.14887198330919	58.39376653544143	44.591794852110766	16.52340332782854	30.795103685959308	48.43733618130298	59.47448838668789	46.516969762831586	12.460130256783959	40.48219123254988	49.470843728113664	56.041393898117626	51.35208927007744	13.801550687874297	46.83195999997551	58.16307775957805	59.393216386969115	42.63284230913213	13.329731259923534	33.58039835427216	47.30448517412895	53.97360932264215	43.65188068095996	20.573927018257983	24.891486657750775	57.47974549313459	59.059830769256635	31.20237687507656	20.69028805848903	11.27434359562276	30.145936565296708	56.66740801934782
60000	55.84240282651646	11.729524952209418	59.12274283009131	59.4610551891238	59.650044511877155	54.428482207150594	9.111636122124235	55.42144167331537	57.04938640641344	58.40498309722488	45.75687570486945	15.554093518009157	33.6955863699335	49.92992775254829	59.475866499231444	47.67930981086633	11.668193518766678	43.12258165462199	50.88977896563563	56.035346092982124	51.74746270067679	13.174933957537377	48.42542525946579	58.03349519963024	59.42110138355519	44.33427955755798	12.440913658518653	37.36081780625723	49.25451970812348	54.522974979589165	44.20695415918281	19.995674557531157	26.598269779722273	57.507547511280336	59.084344672942514	32.40373320635342	20.309689709958427	13.703827156045005	32.68240868370148	56.6493061636433
70000	55.970490870677665	11.360087323484077	59.13337999737419	59.46784508676145	59.66527594275218	54.45749221792765	9.044343904416625	55.402288196915215	57.30449085246218	58.399075534985975	46.75963031298706	14.699458665245276	35.97736822146176	51.26687146874356	59.48901572205521	48.57548879685019	11.086488537632937	45.26304911271289	52.257365857641986	56.012577615154626	52.169269153718574	12.530198024640297	49.26866279798157	58.200046213403	59.42069805620879	45.660215154034724	11.758252252644754	39.36892902618145	50.754063038823276	54.88702479860528	44.686245238473916	19.46941209507437	29.764358052211556	57.49659064407594	59.04543669620094	33.556857526128866	19.911731037851258	14.812243675725199	35.33482223456181	56.666462674415314
80000	56.06046250188409	11.104886310742694	59.17221829156675	59.481879797020575	59.67618786792957	54.49889317492181	8.9282343054528	55.39258628048639	57.22164421251972	58.40539922175904	47.68945856957626	13.968662736875892	38.200082596776284	52.16899087075856	59.48434913431163	49.3607154379632	10.585623093016	47.21490141784501	53.21822767055582	56.05115359942404	52.51983387317698	12.000997759692483	49.900622407050335	58.20039804679351	59.449438571719895	46.72120598013318	11.28107733671209	39.904337101468656	51.99043179522917	55.56641155520812	45.171789985201954	18.97682984203394	30.600247987184517	57.5108313049826	59.05995665245078	34.592396863290425	19.513477608565875	15.897514921252323	37.71639450602339	56.67941330134558
90000	56.19399070941034	10.658949861947791	59.10524461755726	59.45206304830734	59.65830990013776	54.545277729767676	8.818002552388537	55.47126239327667	57.12499382384462	58.4011819361095	48.58928367603002	13.248346404288025	40.22256034083584	53.186547514687476	59.479934474665185	50.03096551021285	10.081036193566778	48.22844912550966	53.937410929334135	56.0341076779136	52.89435524395303	11.430178692546658	50.834015358736195	58.03119606766121	59.4142214349812	47.7169291724323	10.780953296969352	41.77174440333353	52.952351851658065	55.84256269258974	45.581529822258354	18.605962800158515	30.742369418797754	57.50150860171662	59.09364303277852	35.39610803869161	19.25572532424428	16.899376658952598	39.27996610114573	56.69187915644446
100000	56.31443681683233	10.410731709127587	59.138454255691116	59.49954940163599	59.68639971097272	54.64652506653643	8.645494366874514	55.50152124236021	57.3392006155988	58.42983723140677	49.374911847092015	12.723388380364783	42.063035774635935	54.17332659170097	59.50208762842014	50.63336549873804	9.67538151768538	49.404112015246795	54.44134079362094	56.07233481753985	53.179910039638834	11.088073317361046	51.54821869968025	58.157630290246885	59.449223804653094	48.57923827299002	10.351216543262419	43.559766255108755	53.71244837811161	56.049953086622764	46.01063161534967	18.191280724971058	31.750560079481232	57.51475896234082	59.113052645129464	36.13870873547854	19.04701721297229	17.494629887482716	39.515917845522495	56.71003535600275
